Algorithm,Board_Size,reaction_time,nodes,AgentWin,Depth
AB,4 X 4,91.05833333,212.9333333,1,1
AB,4 X 4,132.2108182,327.5454545,0,1
AB,4 X 4,106.9419167,556.75,1,1
minimax,4 X 4,223.5501818,646.0909091,0,1
minimax,4 X 4,223.0483846,915.3076923,1,1
minimax,4 X 4,356.1480909,5266.090909,0,2
minimax,4 X 4,336.6644545,5217.363636,0,2
minimax,3 X 3,23.24166667,66.33333333,-1,1
minimax,3 X 3,36.5574,100.8,0,1
minimax,3 X 3,35.18233333,101.5,-1,1
minimax,3 X 3,36.066,98,0,1
minimax,3 X 3,29.52,80,0,1
minimax,3 X 3,31.75333333,85,-1,1
minimax,3 X 3,37.61725,100,0,1
minimax,3 X 3,25.08983333,66.33333333,-1,1
minimax,3 X 3,37.4395,100,0,1
minimax,3 X 3,33.3754,96.2,0,1
minimax,3 X 3,35.60225,93.5,0,1
minimax,3 X 3,34.8618,92.4,0,1
minimax,3 X 3,32.89416667,88.16666667,-1,2
minimax,3 X 3,36.48866667,107.1666667,-1,2
minimax,3 X 3,30.90216667,86.66666667,-1,2
minimax,3 X 3,26.15971429,67.71428571,1,2
minimax,3 X 3,33.6285,104.8333333,-1,2
minimax,3 X 3,30.654,87,1,2
minimax,3 X 3,37.465,104.1666667,-1,2
AB,3 X 3,24.79916667,69,-1,1
AB,3 X 3,28.3642,79,0,1
AB,3 X 3,27.2888,68,0,1
AB,3 X 3,34.06175,86.5,0,1
AB,3 X 3,33.59425,87.75,0,1
AB,3 X 3,23.96033333,59.33333333,-1,1
AB,3 X 3,25.9516,67.8,-1,1
AB,3 X 3,25.6515,65,-1,1
AB,3 X 3,31.96,86.25,0,1
AB,3 X 3,32.99675,84.5,0,2
AB,3 X 3,22.12428571,55.42857143,1,2
AB,3 X 3,25.71116667,62.5,-1,2
AB,3 X 3,26.30833333,65.33333333,-1,2
AB,3 X 3,27.50516667,68.16666667,-1,2
minimax,4 X 4,217.7098667,1512.733333,1,1
minimax,4 X 4,141.9293333,398.6666667,1,1
minimax,4 X 4,194.5631333,798.6,1,1
minimax,4 X 4,214.7434667,1516.733333,1,1
minimax,4 X 4,273.02,1149.4,0,1
minimax,4 X 4,322.9177,1636.4,0,1
minimax,4 X 4,238.2180833,700.4166667,1,1
minimax,4 X 4,2566.374615,8256.153846,1,2
minimax,4 X 4,2037.317769,6523.923077,1,2
minimax,4 X 4,251.2067857,766.6428571,1,2
minimax,4 X 4,2656.822286,8650.428571,1,2
AB,4 X 4,179.5018333,511.8333333,1,2
AB,4 X 4,246.2964545,708.0909091,0,2
AB,4 X 4,124.0915,329.2142857,1,2
